"","beer_beerid","beer_name","beer_abv","brewery_name","review_overall","review_aroma","review_appearance","review_palate","review_taste","n_reviews","beer_style"
"1",3,"Cactus Queen IPA",NA,"Yellow Rose Brewing Company",4.16666666666667,4,3.83333333333333,4.16666666666667,4.16666666666667,3,"IPA"
"2",4,"Wildcatter's Crude Stout",NA,"Yellow Rose Brewing Company",3.7,3.8,3.95,3.7,3.45,10,"Stout"
"3",5,"Amber",4.5,"Abita Brewing Co.",3.54952830188679,3.20518867924528,3.48584905660377,3.31839622641509,3.34080188679245,424,"Lager"
"4",8,"Wheat",4.2,"Abita Brewing Co.",3.64705882352941,3.08088235294118,3.29411764705882,3.30147058823529,3.23529411764706,68,"Lager"
"5",9,"Golden",4.2,"Abita Brewing Co.",3.40086206896552,2.85344827586207,3.05172413793103,3.10344827586207,3.04310344827586,116,"Lager"
"6",12,"Bert Grant's Imperial Stout",6,"Yakima Brewing Co. / Bert Grant's Ales",3.7093023255814,3.76744186046512,4.07558139534884,3.53488372093023,3.68604651162791,86,"Stout"
"7",13,"Bert Grant's IPA",4.2,"Yakima Brewing Co. / Bert Grant's Ales",3.25,3.05952380952381,3.0952380952381,3.10119047619048,3.0297619047619,84,"IPA"
"8",16,"Hop Jack Pale Ale",NA,"Widmer Brothers Brewing Company",3.91666666666667,3.66666666666667,3.66666666666667,3.91666666666667,4,12,"APA"
"9",19,"Mackeson Triple XXX Stout",4.9,"Whitbread PLC",4.02966101694915,3.99152542372881,4.1771186440678,4.01101694915254,4.11779661016949,590,"Stout"
"10",21,"Deep Shaft Stout",6.2,"Freeminer Brewery Ltd.",4.2112676056338,4.26056338028169,4.38028169014085,4.20422535211268,4.33098591549296,71,"Stout"
"11",23,"Wachusett IPA (India Pale Ale)",5.6,"Wachusett Brewing Company",3.97163120567376,3.73404255319149,3.82978723404255,3.76595744680851,3.85815602836879,141,"IPA"
"12",24,"Wachusett Black Shack Porter",NA,"Wachusett Brewing Company",3.8719512195122,3.79878048780488,3.98170731707317,3.74390243902439,3.82317073170732,82,"Porter"
"13",26,"Wachusett Octoberfest Ale",5.2,"Wachusett Brewing Company",3.55696202531646,3.25316455696203,3.60759493670886,3.45569620253165,3.45569620253165,79,"Red Ale"
"14",27,"Quinn's Amber Ale",NA,"Wachusett Brewing Company",3.67777777777778,3.36666666666667,3.67777777777778,3.54444444444444,3.45555555555556,45,"Red Ale"
"15",29,"Peter's Brand Pilsner Beer",5,"Union Export Brewery",3.01369863013699,2.63698630136986,3.26712328767123,2.87671232876712,2.8013698630137,73,"Pilsener"
"16",35,"Twisted Pine Amber Ale",5.3,"Twisted Pine Brewing Company",3.65,3.3,3.725,3.55,3.65,20,"Red Ale"
"17",38,"Burnham Pilsner",4.2,"Three Floyds Brewing Co. & Brewpub",3.625,3.6875,3.53125,3.5625,3.75,16,"Pilsener"
"18",39,"Alpha King Pale Ale",6,"Three Floyds Brewing Co. & Brewpub",4.33017635532332,4.25342913128674,4.11854996734161,4.13977792292619,4.32887001959504,1531,"APA"
"19",40,"Three Floyds Extra Pale Ale",5.25,"Three Floyds Brewing Co. & Brewpub",3.78205128205128,3.74358974358974,3.67948717948718,3.65384615384615,3.57692307692308,39,"APA"
"20",41,"Light Lager",4,"Upper Canada Brewing Company",3.22222222222222,2.88888888888889,3.05555555555556,3.05555555555556,3.05555555555556,9,"Lager"
"21",43,"Rebellion Lager",6,"Upper Canada Brewing Company",3.18181818181818,3.13636363636364,3.5,3.31818181818182,3.36363636363636,11,"Lager"
"22",44,"Lager",5,"Upper Canada Brewing Company",3.61818181818182,3.08181818181818,3.29090909090909,3.35454545454545,3.49090909090909,55,"Lager"
"23",45,"Woody's Wild Ale",NA,"Upper Canada Brewing Company",3,4,4,2.5,3,1,"APA"
"24",46,"Rebellion Ale",NA,"Upper Canada Brewing Company",3.375,3.5,3.75,3,3.25,4,"APA"
"25",47,"Tremont Summer Ale",4.4,"Shipyard Brewing Co.",3.52631578947368,3.5,3.52631578947368,3.39473684210526,3.47368421052632,19,"APA"
"26",48,"Tremont Porter",5.4,"Tremont Brewery / Atlantic Coast Brewing, Ltd.",4.16666666666667,4,4.16666666666667,3.83333333333333,4,3,"Porter"
"27",50,"Tremont Freedom Trail IPA",6.4,"Shipyard Brewing Co.",3.34415584415584,3.37012987012987,3.74675324675325,3.37662337662338,3.33766233766234,77,"IPA"
"28",54,"Blackhook Porter",5.23,"Redhook Ale Brewery",3.61162790697674,3.4093023255814,3.67906976744186,3.39302325581395,3.44651162790698,215,"Porter"
"29",55,"Redhook Double Black Stout (with Coffee)",7,"Redhook Ale Brewery",3.87716262975779,3.7560553633218,4.01730103806228,3.71626297577855,3.86505190311419,289,"Stout"
"30",60,"Hard Hat American Beer",3.8,"",3.5,3.5,3.5,4,3.5,1,"Lager"
"31",61,"Anchor Porter",5.6,"Anchor Brewing Company",4.14436090225564,3.9906015037594,4.2421052631579,4.0812030075188,4.16729323308271,1330,"Porter"
"32",65,"Budweiser",5,"Anheuser-Busch",2.88399462004035,2.18964357767317,2.51647612642905,2.47310020174849,2.42030934767989,1487,"Lager"
"33",73,"Young's Double Chocolate Stout",5.2,"Wells & Young's Ltd",4.06845369960124,3.97341603898981,4.25077536552946,3.98072662826761,4.0934869295525,2257,"Stout"
"34",75,"Pocono Caramel Porter",NA,"Lion Brewery, Inc.",3.78,3.66,3.94,3.6,3.72,25,"Porter"
"35",76,"Brewery Hill Centennial Lager",NA,"Lion Brewery, Inc.",4,4.5,3.25,4.25,4.5,2,"Lager"
"36",81,"Organic Ur Pils",5.2,"Brauerei Pinkus Mueller",3.9046511627907,3.67906976744186,3.66976744186047,3.76511627906977,3.76744186046512,215,"Pilsener"
"37",85,"Coffeehouse Porter",6.2,"Berkshire Brewing Company Inc.",4.07296650717703,4.04186602870813,4.06818181818182,3.90430622009569,4.06937799043062,418,"Porter"
